Time,Sales Rank,New Price,List Price
"9/22/2023, 3:05:03 PM","546","35","29"
"9/22/2023, 6:07:22 PM","531","35","29"
"9/22/2023, 9:08:04 PM","515","35","29"
"9/23/2023, 12:08:44 AM","538","35","29"
"9/23/2023, 3:10:24 AM","544","35","29"
"9/23/2023, 6:11:04 AM","575","35","29"
"9/23/2023, 9:11:26 AM","624","35","29"
"9/23/2023, 3:13:06 PM","652","35","29"
"9/23/2023, 6:13:34 PM","648","35","29"
"9/23/2023, 9:14:07 PM","601","35","29"
"9/24/2023, 12:14:39 AM","555","35","29"
"9/24/2023, 3:15:27 AM","561","35","29"
"9/24/2023, 6:16:23 AM","596","35","29"
"9/24/2023, 9:17:06 AM","639","35","29"
"9/24/2023, 12:17:41 PM","591","35","29"
"9/24/2023, 3:18:36 PM","573","35","29"
"9/24/2023, 6:19:10 PM","531","35","29"
"9/25/2023, 12:20:36 AM","521","35","29"
"9/25/2023, 3:23:24 AM","546","35","29"
"9/25/2023, 6:24:17 AM","557","35","29"
"9/25/2023, 9:25:03 AM","526","35","29"
"9/25/2023, 12:25:47 PM","499","35","29"
"9/25/2023, 3:26:25 PM","481","35","29"
"9/25/2023, 6:27:07 PM","452","35","29"
"9/25/2023, 9:28:03 PM","438","35","29"
"9/26/2023, 12:28:36 AM","444","35","29"
"9/26/2023, 3:29:19 AM","465","35","29"
"9/26/2023, 6:30:06 AM","503","35","29"
"9/26/2023, 9:30:21 AM","480","35","29"
"9/26/2023, 12:31:03 PM","474","35","29"
"9/26/2023, 3:31:36 PM","471","35","29"
"9/26/2023, 6:37:12 PM","475","35","29"
"9/26/2023, 9:38:03 PM","483","35","29"
"9/27/2023, 12:38:34 AM","467","35","29"
"9/27/2023, 3:39:22 AM","497","35","29"
"9/27/2023, 6:41:40 AM","495","35","29"
"9/27/2023, 9:42:18 AM","487","35","29"
"9/27/2023, 12:43:03 PM","490","35","29"
"9/27/2023, 3:43:36 PM","489","35","29"
"9/27/2023, 6:44:22 PM","491","35","29"
"9/27/2023, 9:45:06 PM","467","35","29"
"9/28/2023, 12:45:38 AM","460","35","29"
"9/28/2023, 3:46:29 AM","480","35","29"
"9/28/2023, 6:58:57 AM","519","35","29"
"9/28/2023, 9:59:07 AM","544","35","29"
"9/28/2023, 12:59:40 PM","556","35","29"
"9/28/2023, 4:00:30 PM","550","35","29"
"9/28/2023, 7:01:05 PM","521","35","29"
"9/29/2023, 1:01:34 AM","449","35","29"
"9/29/2023, 4:02:24 AM","453","35","29"
"9/29/2023, 7:03:19 AM","447","35","29"
"9/29/2023, 10:04:03 AM","443","35","29"
"9/29/2023, 4:05:27 PM","447","35","29"
"9/29/2023, 7:06:06 PM","433","35","29"
"9/29/2023, 10:06:07 PM","403","35","29"
"9/30/2023, 4:07:21 AM","439","35","29"
"9/30/2023, 7:08:16 AM","398","35","29"
"9/30/2023, 10:09:04 AM","393","35","29"
"9/30/2023, 1:09:23 PM","384","35","29"
"9/30/2023, 7:10:39 PM","380","35","29"
"9/30/2023, 10:11:18 PM","364","35","29"
"10/1/2023, 1:12:03 AM","372","35","29"
"10/1/2023, 4:12:44 AM","381","35","29"
"10/1/2023, 4:15:35 PM","357","35","29"
"10/1/2023, 7:16:06 PM","360","35","29"
"10/1/2023, 10:16:25 PM","330","35","29"
"10/2/2023, 1:17:06 AM","334","35","29"
"10/2/2023, 7:18:52 AM","358","35","29"
"10/2/2023, 10:19:20 AM","328","35","29"
"10/2/2023, 1:20:07 PM","311","35","29"
"10/2/2023, 4:23:09 PM","313","35","29"
"10/2/2023, 7:23:38 PM","298","35","29"
"10/3/2023, 4:25:23 AM","283","35","29"
"10/3/2023, 7:26:07 AM","299","35","29"
"10/3/2023, 10:26:37 AM","289","35","29"
"10/3/2023, 3:07:12 PM","280","35","29"
"10/3/2023, 7:05:58 PM","278","35","29"
"10/3/2023, 10:06:18 PM","263","35","29"
"10/4/2023, 1:07:04 AM","259","35","29"
"10/4/2023, 4:18:42 AM","270","29","29"
"10/4/2023, 10:33:28 AM","285","29","29"
"10/4/2023, 1:34:04 PM","280","29","29"
"10/4/2023, 4:37:56 PM","291","29","29"
"10/4/2023, 7:41:57 PM","288","29","29"
"10/4/2023, 10:42:23 PM","260","29","29"
