Time,Sales Rank,New Price,List Price
"9/15/2022, 4:35:06 PM",416,49,49
"9/15/2022, 8:35:08 PM",412,49,49
"9/16/2022, 12:37:51 AM",386,49.99,49
"9/16/2022, 5:06:32 AM",406,49.99,49
"9/16/2022, 9:04:16 AM",412,49.99,49
"9/16/2022, 1:02:48 PM",392,49.99,49
"9/16/2022, 5:22:23 PM",391,49.99,49
"9/16/2022, 9:26:49 PM",399,49.99,49
"9/17/2022, 1:38:10 AM",278,49.99,49
"9/17/2022, 6:19:54 AM",213,49.99,49
"9/17/2022, 11:06:17 AM",197,49.99,49
"9/17/2022, 4:21:01 PM",195,49,49
"9/17/2022, 9:39:17 PM",196,49,49
"9/18/2022, 2:19:59 AM",189,49,49
"9/18/2022, 6:53:03 AM",210,49,49
"9/18/2022, 12:08:30 PM",196,49,49
"9/18/2022, 4:52:33 PM",198,49,49
"9/18/2022, 9:48:49 PM",213,49,49
"9/19/2022, 2:07:46 AM",228,49,49
"9/19/2022, 6:21:01 AM",229,49,49
"9/19/2022, 11:02:07 AM",236,49,49
"9/19/2022, 3:39:42 PM",222,49,49
"9/19/2022, 8:55:56 PM",235,49,49
"9/20/2022, 1:54:26 AM",228,49,49
"9/20/2022, 6:28:00 AM",233,49,49
"9/20/2022, 11:31:05 AM",213,49,49
"9/20/2022, 4:57:24 PM",221,49,49
"9/20/2022, 10:19:23 PM",245,49,49
"9/21/2022, 3:31:38 AM",232,49,49
"9/21/2022, 8:12:10 AM",248,49,49
"9/21/2022, 1:28:16 PM",241,49,49
"9/21/2022, 7:25:56 PM",242,49,49
"9/22/2022, 1:29:25 AM",252,49,49
"9/22/2022, 7:17:13 AM",254,49,49
"9/22/2022, 12:40:50 PM",235,49,49
"9/22/2022, 6:41:53 PM",224,49,49
"9/23/2022, 12:46:18 AM",241,49,49
"9/23/2022, 6:41:39 AM",249,49,49
"9/23/2022, 12:12:58 PM",225,49,49
"9/23/2022, 6:15:44 PM",236,49,49
"9/24/2022, 12:45:09 AM",234,49,49
"9/24/2022, 6:48:28 AM",264,49,49
"9/24/2022, 1:07:20 PM",237,49,49
"9/24/2022, 7:27:56 PM",245,49,49
"9/25/2022, 2:21:21 AM",254,49,49
"9/25/2022, 8:34:12 AM",261,49,49
"9/25/2022, 2:44:30 PM",284,49,49
"9/25/2022, 8:32:54 PM",287,49,49
"9/26/2022, 2:41:44 AM",310,49,49
"9/26/2022, 8:48:34 AM",332,49,49
"9/26/2022, 3:04:06 PM",335,49,49
"9/26/2022, 9:43:27 PM",354,49,49
"9/27/2022, 4:14:17 AM",348,49,49
"9/27/2022, 10:42:36 AM",320,49,49
"9/27/2022, 5:00:16 PM",330,49,49
"9/27/2022, 11:32:27 PM",337,49,49
"9/28/2022, 5:36:11 AM",326,49,49
"9/28/2022, 11:57:07 AM",310,49,49
"9/28/2022, 6:45:32 PM",316,49,49
"9/28/2022, 11:58:04 PM",317,49,49
"9/29/2022, 5:45:36 AM",341,49,49
"9/29/2022, 12:12:30 PM",289,49,49
"9/29/2022, 7:44:18 PM",284,49,49
"9/30/2022, 3:05:32 AM",305,49,49
"9/30/2022, 10:55:44 AM",306,49,49
"9/30/2022, 5:54:08 PM",313,49,49
"10/1/2022, 1:19:36 AM",342,49,49
"10/1/2022, 9:28:50 AM",353,49,49
"10/1/2022, 5:47:19 PM",342,49,49
"10/2/2022, 2:01:36 AM",354,49,49
"10/2/2022, 10:20:37 AM",379,49,49
"10/2/2022, 6:37:46 PM",373,49,49
"10/3/2022, 2:38:19 AM",408,49,49
"10/3/2022, 10:43:28 AM",398,49,49
"10/3/2022, 6:58:16 PM",404,49,49
"10/4/2022, 3:23:22 AM",422,49,49
"10/4/2022, 11:57:15 AM",365,49,49
"10/4/2022, 8:31:48 PM",355,49,49
"10/5/2022, 5:26:11 AM",327,49,49
"10/5/2022, 2:26:27 PM",314,49,49
"10/5/2022, 11:44:36 PM",313,49,49
"10/6/2022, 9:28:15 AM",269,49,49
