Avg List Price,Avg New Price,Avg Sales Rank,Date
29,24,255,2025-01-01 00:00:00
29,24,265,2024-11-01 00:00:00
29,24,279,2025-02-01 00:00:00
29,24,325,2024-12-01 00:00:00
29,24,330,2025-03-01 00:00:00
29,24,445,2025-06-01 00:00:00
29,24,451,2025-04-01 00:00:00
29,24,617,2025-05-01 00:00:00
29,29,175,2024-08-01 00:00:00
29,29,178,2024-01-01 00:00:00
29,29,192,2024-05-01 00:00:00
29,29,198,2024-06-01 00:00:00
29,29,206,2024-07-01 00:00:00
29,29,220,2024-04-01 00:00:00
29,29,228,2024-02-01 00:00:00
29,29,258,2024-03-01 00:00:00
29,29,262,2024-09-01 00:00:00
29,29,264,2023-11-01 00:00:00
29,29,278,2023-12-01 00:00:00
29,29,339,2023-10-01 00:00:00
29,29,342,2024-10-01 00:00:00
29,35,501,2023-09-01 00:00:00
