Avg List Price,Avg New Price,Avg Sales Rank,Date
799,721,450,2024-09-01 00:00:00
799,738,686,2024-08-01 00:00:00
799,746,11420,2024-06-01 00:00:00
799,767,2781,2025-02-01 00:00:00
799,767,37502,2024-03-01 00:00:00
799,770,14750,2024-05-01 00:00:00
799,774,10323,2025-05-01 00:00:00
799,778,7995,2024-07-01 00:00:00
799,780,3145,2024-12-01 00:00:00
799,782,,2024-02-01 00:00:00
799,788,2647,2024-10-01 00:00:00
799,789,2936,2024-11-01 00:00:00
799,794,33276,2024-04-01 00:00:00
799,797,4765,2025-03-01 00:00:00
799,798,3416,2025-01-01 00:00:00
799,799,4153,2025-06-01 00:00:00
799,799,5295,2025-04-01 00:00:00
