Avg List Price,Avg New Price,Avg Sales Rank,Date
49,,597,2023-12-01 00:00:00
49,,818,2023-11-01 00:00:00
49,,1029,2024-01-01 00:00:00
49,,1130,2024-02-01 00:00:00
49,,1302,2024-03-01 00:00:00
49,,1380,2024-04-01 00:00:00
49,,1423,2024-06-01 00:00:00
49,,1519,2024-05-01 00:00:00
49,,1570,2024-07-01 00:00:00
49,,1620,2024-08-01 00:00:00
49,,2687,2024-10-01 00:00:00
49,,3007,2024-09-01 00:00:00
49,,3720,2024-11-01 00:00:00
49,,12214,2025-01-01 00:00:00
49,,13933,2024-12-01 00:00:00
49,,14721,2025-02-01 00:00:00
49,40,3102,2025-04-01 00:00:00
49,41,592,2023-07-01 00:00:00
49,43,4377,2025-05-01 00:00:00
49,44,664,2023-09-01 00:00:00
49,45,669,2023-06-01 00:00:00
49,46,883,2023-02-01 00:00:00
49,47,602,2023-03-01 00:00:00
49,47,5135,2025-06-01 00:00:00
49,48,378,2023-05-01 00:00:00
49,48,437,2023-04-01 00:00:00
49,48,521,2023-01-01 00:00:00
49,49,277,2022-09-01 00:00:00
49,49,369,2022-10-01 00:00:00
49,49,663,2022-11-01 00:00:00
49,49,719,2022-12-01 00:00:00
49,49,779,2023-08-01 00:00:00
49,49,1255,2023-10-01 00:00:00
49,52,13723,2025-03-01 00:00:00
